member_id,project_id,year_month,allocation,role_in_project
M001,P001,2026-04,0.5,PM
M002,P001,2026-04,0.8,SE
M001,P001,2026-05,0.5,PM
M002,P001,2026-05,0.8,SE
M001,P001,2026-06,0.5,PM
M002,P001,2026-06,0.8,SE
D001,P001,2026-06,1.0,SE
M001,P001,2026-07,0.5,PM
M002,P001,2026-07,0.8,SE
D001,P001,2026-07,1.0,SE
M001,P001,2026-08,0.5,PM
M001,P002,2026-08,0.3,PM
M002,P001,2026-08,0.8,SE
D001,P001,2026-08,1.0,SE
M001,P001,2026-09,0.5,PM
M001,P002,2026-09,0.3,PM
M002,P001,2026-09,0.8,SE
D001,P001,2026-09,1.0,SE
M001,P001,2026-10,0.5,PM
M001,P002,2026-10,0.3,PM
M002,P001,2026-10,0.3,SE
M002,P003,2026-10,0.6,SE
D001,P001,2026-10,1.0,SE
M001,P001,2026-11,0.5,PM
M001,P002,2026-11,0.3,PM
M002,P001,2026-11,0.3,SE
M002,P003,2026-11,0.6,SE
D001,P001,2026-11,1.0,SE
M001,P001,2026-12,0.5,PM
M001,P002,2026-12,0.3,PM
M002,P001,2026-12,0.3,SE
M002,P003,2026-12,0.6,SE
D001,P001,2026-12,1.0,SE
M001,P001,2027-01,0.5,PM
M001,P002,2027-01,0.3,PM
M002,P001,2027-01,0.3,SE
M002,P003,2027-01,0.6,SE
D001,P001,2027-01,1.0,SE
M001,P001,2027-02,0.5,PM
M001,P002,2027-02,0.3,PM
M002,P001,2027-02,0.3,SE
M002,P003,2027-02,0.6,SE
D001,P001,2027-02,1.0,SE
M001,P001,2027-03,0.5,PM
M001,P002,2027-03,0.3,PM
M002,P001,2027-03,0.3,SE
M002,P003,2027-03,0.6,SE
D001,P001,2027-03,1.0,SE
